ID;RANK;BUILDING;CITY;COUNTRY;HEIGHT_M;HEIGHT_FT;FLOORS;BUILD;ARCHITECT;ARCHITECTUTAL_STYLE;COST;MATERIAL;LONGITUDE;LATITUDE;IMAGE_URL
1;1;Burj Khalifa;Dubai;UAE;830.0;2723.0971336364746;163;2010;Adrian Smith at SOM;Neo-futurism;1.5;glass, steel, aluminum, reinforced concrete;25.1971;55.2741;https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Burj_Khalifa.jpg/240px-Burj_Khalifa.jpg
2;2;Shanghai Tower;Shanghai;China;632.0;2073.4908294677734;128;2015;Jun Xia (Gensler);;2.4;;31.2355;121.501;https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Shanghai_Tower_2015.jpg/480px-Shanghai_Tower_2015.jpg
3;3;Abraj Al-Bait Clock Tower;Mecca;Saudi Arabia;601.0;1971.7847919464111;120;2012;Dar Al-Handasah Architects;;15.0;steel/concrete composite construction;21.4189;39.8264;https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Abraj-al-Bait-Towers.JPG/550px-Abraj-al-Bait-Towers.JPG
4;4;Ping An Finance Centre;Shenzhen;China;599.0;1965.2231121063232;115;2016;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Ping%27an_IFC%2C_2014-12-21.jpg/135px-Ping%27an_IFC%2C_2014-12-21.jpg
5;5;Lotte World Tower;Seoul;South Korea;555.0;1820.8661556243896;123;2016;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Lotte_World_Tower_2016_02_14.jpg/480px-Lotte_World_Tower_2016_02_14.jpg
6;6;CN Tower;Toronto;Canada;553.33;1815.3871529579164;0;1973;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toronto_-_ON_-_Toronto_Harbourfront7.jpg/480px-Toronto_-_ON_-_Toronto_Harbourfront7.jpg
7;7;One World Trade Center;New York City;United States;541.3;1775.9186487197874;104;2014;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/OneWorldTradeCenter.jpg/500px-OneWorldTradeCenter.jpg
8;8;CTF Finance Centre;Guangzhou;China;530.0;1738.845157623291;111;2016;;;0.0;;0.0;0.0;http://www.ctbuh.org/Portals/0/Media/NewsArchive/2014/Oct/six-ten/Guangzhou-CTF.jpg
9;9;Taipei 101;Taipei;Taiwan;509.0;1669.9475193023682;101;2004;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Taipei101.portrait.altonthompson.jpg/480px-Taipei101.portrait.altonthompson.jpg
10;10;Shanghai World Financial Center;Shanghai;China;492.0;1614.173240661621;101;2008;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/SWFT.jpg/450px-SWFT.jpg
